symbol,name,country,ipo_year,volume,sector,industry
AAL,American Airlines Group Inc. Common Stock,United States,,42584759,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,6352,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013.0,1459256,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,204666,Industrials,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,1980.0,25693304,Technology,Computer Manufacturing
ABCB,Ameris Bancorp Common Stock,United States,1994.0,124962,Finance,Major Banks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985.0,646901,Health Care,Biotechnology: Pharmaceutical Preparations
ACET,Adicet Bio Inc. Common Stock ,United States,2018.0,156903,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,425087,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,945215,Health Care,Medical Specialities
ACIW,ACI Worldwide Inc. Common Stock,United States,,308307,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000.0,281044,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,17394,Finance,Major Banks
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,120422,Miscellaneous,Multi-Sector Companies
ADBE,Adobe Inc. Common Stock,United States,1986.0,1755951,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,United States,,1164139,Technology,Semiconductors
ADMA,ADMA Biologics Inc Common Stock,United States,,2419063,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,United States,,779310,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,United States,,571440,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994.0,355289,Utilities,Telecommunications Equipment
ADUS,Addus HomeCare Corporation Common Stock,United States,2009.0,75885,Health Care,Medical/Nursing Services
AEHR,Aehr Test Systems Common Stock,United States,1997.0,630506,Industrials,Electrical Products
